"","MSE","RMSE","R2","MAE"
"S1..SL.randomForest_All...S2..SL.randomForest_All","515854485","22712.43"," 0.30561304","11908.68"
"S1..SL.glmnet_All...S2..SL.randomForest_All","516326196","22722.81"," 0.30497807","11921.34"
"S1..SL.xgboost_All...S2..SL.randomForest_All","516683348","22730.67"," 0.30449731","11908.25"
"two_stage_SL_preds","517375489","22745.89"," 0.30356563","12218.20"
"S1..SL.glm_All...S2..SL.randomForest_All","517827273","22755.82"," 0.30295749","11983.73"
"Single..SL.randomForest_All","519347941","22789.21"," 0.30091053","11891.48"
"one_stage_SL_preds","540902074","23257.30"," 0.27189671","12542.01"
"S1..SL.glmnet_All...S2..SL.glmnet_All","552105428","23496.92"," 0.25681598","12604.15"
"S1..SL.glm_All...S2..SL.glmnet_All","552648629","23508.48"," 0.25608478","12581.45"
"S1..SL.xgboost_All...S2..SL.glmnet_All","556165114","23583.15"," 0.25135127","12644.25"
"S1..SL.randomForest_All...S2..SL.glmnet_All","556182973","23583.53"," 0.25132723","12670.11"
"Single..SL.glmnet_All","563423710","23736.55"," 0.24158054","12864.46"
"discrete_two_stage_SL_preds","563423710","23736.55"," 0.24158054","12864.46"
"Single..SL.lm_All","601749896","24530.59"," 0.18999002","14196.38"
"S1..SL.glm_All...S2..SL.lm_All","603754054","24571.41"," 0.18729224","14029.11"
"S1..SL.glmnet_All...S2..SL.lm_All","604382392","24584.19"," 0.18644644","14194.33"
"S1..SL.xgboost_All...S2..SL.lm_All","607750531","24652.60"," 0.18191262","14260.68"
"S1..SL.randomForest_All...S2..SL.lm_All","608058576","24658.84"," 0.18149796","14267.85"
"S1..SL.xgboost_All...S2..SL.xgboost_All","776568048","27866.97","-0.04533108","16525.73"
"S1..SL.glmnet_All...S2..SL.xgboost_All","777400667","27881.91","-0.04645186","16550.64"
"S1..SL.randomForest_All...S2..SL.xgboost_All","778221622","27896.62","-0.04755694","16541.30"
"S1..SL.glm_All...S2..SL.xgboost_All","781566614","27956.51","-0.05205961","16540.86"
"Single..SL.xgboost_All","782850383","27979.46","-0.05378768","17118.21"
