"","MSE","RMSE","R2","MAE"
"S1: Random Forest + S2: Random Forest","556645886","23593.34"," 0.2507041","12497.13"
"S1: LASSO Linear Regression + S2: Random Forest","557289107","23606.97"," 0.2498383","12505.97"
"S1: XGBoost + S2: Random Forest","557373604","23608.76"," 0.2497245","12490.45"
"S1: Logistic Regression + S2: Random Forest","557825581","23618.33"," 0.2491161","12513.34"
"Single: Random Forest","558612033","23634.97"," 0.2480575","12468.50"
"One-Stage Super Learner","578630406","24054.74"," 0.2211110","12955.01"
"S1: Logistic Regression + S2: LASSO Logistic Regression","579158898","24065.72"," 0.2203996","12616.48"
"S1: LASSO Linear Regression + S2: LASSO Logistic Regression","579692848","24076.81"," 0.2196808","12662.29"
"S1: Random Forest + S2: LASSO Logistic Regression","584001601","24166.13"," 0.2138808","12733.68"
"S1: XGBoost + S2: LASSO Logistic Regression","584530884","24177.07"," 0.2131684","12721.27"
"Two-Stage Super Learner","605833175","24613.68"," 0.1844936","13276.11"
"Single: LASSO Linear Regression","608405787","24665.88"," 0.1810306","13365.05"
"Single: Linear Regression","618374553","24867.14"," 0.1676117","13781.74"
"Discrete Two-Stage Super Learner","618374553","24867.14"," 0.1676117","13781.74"
"S1: Logistic Regression + S2: Linear Regression","620994127","24919.75"," 0.1640855","13729.29"
"S1: LASSO Linear Regression + S2: Linear Regression","621188404","24923.65"," 0.1638240","13786.32"
"S1: Random Forest + S2: Linear Regression","624888130","24997.76"," 0.1588439","13869.46"
"S1: XGBoost + S2: Linear Regression","625237391","25004.75"," 0.1583737","13873.00"
"Single: XGBoost","819706519","28630.52","-0.1033994","16842.21"
"S1: XGBoost + S2: XGBoost","865634918","29421.67","-0.1652232","17510.77"
"S1: Random Forest + S2: XGBoost","867190491","29448.10","-0.1673171","17527.77"
"S1: LASSO Linear Regression + S2: XGBoost","868979026","29478.45","-0.1697246","17544.74"
"S1: Logistic Regression + S2: XGBoost","870685798","29507.39","-0.1720221","17521.19"
