"","MSE","RMSE","R2","MAE"
"S1: Random Forest + S2: Random Forest","11647635","3412.863"," 0.11895853","1528.285"
"S1: XGBoost + S2: Random Forest","11686389","3418.536"," 0.11602708","1536.445"
"Single: Random Forest","11702404","3420.878"," 0.11481574","1524.864"
"One-Stage Super Learner","11702404","3420.878"," 0.11481574","1524.864"
"S1: LASSO Linear Regression + S2: Random Forest","11717631","3423.102"," 0.11366395","1548.344"
"S1: Logistic Regression + S2: Random Forest","11721974","3423.737"," 0.11333538","1556.195"
"Two-Stage Super Learner","11960089","3458.336"," 0.09532414","1529.882"
"Single: LASSO Linear Regression","11993379","3463.146"," 0.09280604","1547.434"
"Discrete Two-Stage Super Learner","11993379","3463.146"," 0.09280604","1547.434"
"S1: XGBoost + S2: LASSO Logistic Regression","12052337","3471.648"," 0.08834635","1521.175"
"S1: Random Forest + S2: LASSO Logistic Regression","12053504","3471.816"," 0.08825809","1520.459"
"S1: Logistic Regression + S2: LASSO Logistic Regression","12091875","3477.337"," 0.08535565","1544.945"
"S1: LASSO Linear Regression + S2: LASSO Logistic Regression","12098131","3478.237"," 0.08488243","1539.346"
"S1: Random Forest + S2: Linear Regression","12459294","3529.773"," 0.05756362","1587.333"
"S1: XGBoost + S2: Linear Regression","12469392","3531.203"," 0.05679982","1584.793"
"S1: Logistic Regression + S2: Linear Regression","12501717","3535.777"," 0.05435471","1609.433"
"S1: LASSO Linear Regression + S2: Linear Regression","12508851","3536.785"," 0.05381508","1606.199"
"Single: Linear Regression","12526404","3539.266"," 0.05248732","1627.747"
"Single: XGBoost","14691217","3832.912","-0.11126178","1980.061"
"S1: Random Forest + S2: XGBoost","15138745","3890.854","-0.14511337","1969.486"
"S1: XGBoost + S2: XGBoost","15196671","3898.291","-0.14949491","1970.556"
"S1: LASSO Linear Regression + S2: XGBoost","15214238","3900.543","-0.15082375","1986.868"
"S1: Logistic Regression + S2: XGBoost","15218111","3901.040","-0.15111667","1989.623"
