"","MSE","RMSE","R2","MAE"
"S1..SL.randomForest_All...S2..SL.randomForest_All","11559991","3399.999"," 0.12558804","1519.858"
"S1..SL.glm_All...S2..SL.randomForest_All","11611378","3407.547"," 0.12170107","1538.022"
"Single..SL.randomForest_All","11616130","3408.244"," 0.12134161","1521.625"
"one_stage_SL_preds","11616130","3408.244"," 0.12134161","1521.625"
"S1..SL.xgboost_All...S2..SL.randomForest_All","11618293","3408.562"," 0.12117796","1531.050"
"S1..SL.glmnet_All...S2..SL.randomForest_All","11621870","3409.086"," 0.12090744","1536.277"
"two_stage_SL_preds","11730354","3424.960"," 0.11270157","1529.276"
"S1..SL.randomForest_All...S2..SL.glmnet_All","11865337","3444.610"," 0.10249124","1509.325"
"S1..SL.xgboost_All...S2..SL.glmnet_All","11878975","3446.589"," 0.10145968","1511.709"
"S1..SL.randomForest_All...S2..SL.lm_All","11903044","3450.079"," 0.09963903","1542.933"
"S1..SL.glm_All...S2..SL.glmnet_All","11903110","3450.088"," 0.09963408","1533.947"
"S1..SL.glmnet_All...S2..SL.glmnet_All","11916110","3451.972"," 0.09865071","1530.085"
"S1..SL.xgboost_All...S2..SL.lm_All","11918209","3452.276"," 0.09849198","1544.114"
"Single..SL.glmnet_All","11922479","3452.894"," 0.09816901","1535.602"
"discrete_two_stage_SL_preds","11922479","3452.894"," 0.09816901","1535.602"
"S1..SL.glm_All...S2..SL.lm_All","11934761","3454.672"," 0.09723994","1559.996"
"S1..SL.glmnet_All...S2..SL.lm_All","11950736","3456.984"," 0.09603155","1558.553"
"Single..SL.lm_All","11981787","3461.472"," 0.09368285","1582.230"
"S1..SL.randomForest_All...S2..SL.xgboost_All","14693528","3833.214","-0.11143658","1990.022"
"S1..SL.xgboost_All...S2..SL.xgboost_All","14745836","3840.031","-0.11539322","1990.014"
"S1..SL.glmnet_All...S2..SL.xgboost_All","14812268","3848.671","-0.12041827","2012.987"
"S1..SL.glm_All...S2..SL.xgboost_All","14820246","3849.707","-0.12102174","2015.325"
"Single..SL.xgboost_All","14978101","3870.155","-0.13296201","1964.256"
